conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/736ef286-fbd3-4e5c-a4b4-d1e2008c9898,plánovat digitální marketingové strategie,released,skill/competence,cross-sector,plánovat digitální strategie pro marketing | plánovat využití mobilních technologií a sociálních sítí v marketingu | tvořit strategie pro sociální sítě | tvořit webové stránky | plánovat digitální marketingovou strategii,"Vypracovávat digitální marketingové strategie pro soukromé i obchodní účely, vytvářet internetové stránky a využívat mobilní technologie a sociální sítě.",http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9 | http://data.europa.eu/esco/skill/08fd2839-670c-4f16-8024-97437f2035ab | http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"využívat digitální technologie kreativně | plánovat marketingovou strategii | vypracovávat finanční, obchodní nebo marketingové plány"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7373abdb-ee5a-4949-b4ae-dee60ab37914,využívat komunikační zařízení,released,skill/competence,sector-specific,,"Nastavovat, testovat a ovládat různé typy komunikačních zařízení, jako jsou zařízení pro přenos, digitální síťová zařízení nebo telekomunikační zařízení.",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,obsluhovat komunikační zařízení
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/73c7d0d9-092f-4f6e-800a-5759f45a6fc6,používat 2D CAD nástroj pro navrhování obuvi,released,skill/competence,sector-specific,,"Umět číst a interpretovat specifikace návrhů s cílem převést virtuální 3D modely, počítačem zhotovené výkresy a ruční náčrty do 2D prostředí  softwaru CAD. Třídit a provádět nesting (optimální rozložení dílů v prostoru).
	",http://data.europa.eu/esco/skill/c34b06c4-d164-4e49-a784-89d47de42ec2 | http://data.europa.eu/esco/skill/b34e2ba1-9080-48c9-9b42-ee9192a4d3f1,"navrhovat průmyslové materiály, systémy nebo produkty | používat software CAD"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/744442ac-c157-4350-8be0-ce454df4f5c5,řešit potíže s informačními a komunikačními technologiemi,released,skill/competence,cross-sector,řešit potíže s IKT,"Identifikovat problémy se servery, stolními počítači, tiskárnami, sítěmi a vzdáleným přístupem a provádět opatření, která tyto problémy řeší.",http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,řešit technické problémy | řešit problémy s počítači
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7482a123-e801-48de-9733-262125671410,algoritmizace úkolů,released,knowledge,cross-sector,tvorba algoritmů úkolů | tvorba algoritmů | algoritmizace úkolu | sestavování algoritmů,Techniky pro přeměnu nestrukturovaných popisů procesu na sled činností sestávající z omezeného počtu kroků.,http://data.europa.eu/esco/isced-f/0612,vytváření a správa databází a sítí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/749ae61c-fe7b-461b-8bc3-349f46617ee7,"lokalizovat mikročip u zvířat, zjišťovat přítomnost mirkočipu u zvířat",released,skill/competence,occupation-specific,,"Zvíře pečlivě prohlédnout pomocí správného postupu pro daný typ skeneru, aby se zjistila případná přítomnost mikročipu. V případě zjištění mikročipu zkontrolovat data v příslušné databázi nebo jiné dokumentaci. V případě, že čip není uveden v databázi, použít systém zpětného sledování ke zjištění, kdo čip implantoval.
	",http://data.europa.eu/esco/skill/7194cdea-bca7-4c4a-8d49-3cb54b89d5a0,poskytovat terapii nebo veterinární léčbu zvířat
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/74cb80c4-df6b-4d79-a153-cb7b3b3b6eb0,plánovat marketingové kampaně v sociálních médiích,released,skill/competence,sector-specific,organizovat marketingové kampaně na sociálních sítích,"Plánovat a provádět marketingovou kampaň na sociálních médiích.
	",http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d | http://data.europa.eu/esco/skill/9c6e951f-aa88-4890-983d-e7a6ee49f5bb,"vypracovávat finanční, obchodní nebo marketingové plány | plánovat marketingovou kampaň"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/750f86d2-18be-4015-84b1-d4a26d9b2d88,techniky reklamních kampaní na internetu,released,knowledge,cross-sector,,"Techniky používané k plánování a realizaci marketingových kampaní na internetových reklamních platformách.
	",http://data.europa.eu/esco/isced-f/0414,marketing a propagace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/751941a0-5645-4f8b-b97e-b252909d5edb,vypracovat plán ICT procesů,released,skill/competence,sector-specific,vypracovat plány IKT procesů | vypracovat plán IKT procesů | vypracovat plány ICT procesů | vypracovat plán ICT procesu | rozvíjet fungování informačních a komunikačních technologií | rozvíjet pracovní tok informačních a komunikačních technologií,"Vytvářet v rámci organizace opakovatelné vzorce ICT činnosti, která prostřednictvím jejich produkce zlepšuje systematické přeměny výrobků, informačních procesů a služeb.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8 | http://data.europa.eu/esco/skill/8add048c-4d51-41c5-8aa2-f57412c4a637,vypracovávat provozní politiky a postupy | řídit čas | zdokonalovat výrobní postup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7557f0f4-b8bc-4ac0-b91e-222ab1ba744f,nástroje pro automatizaci testů ICT,released,knowledge,sector-specific,nástroj pro automatizaci testů ICT | nástroje pro automatizaci testů IKT | nástroj pro automatizaci testů | nástroje automatizace testů,"Specializovaný software pro provádění nebo kontrolu zkoušek a porovnávání předpokládaných výstupů testování se skutečnými výsledky zkoušek, jako je Selenium, QTP a LoadRunner.",http://data.europa.eu/esco/isced-f/0613,vývoj a analýza softwaru a aplikací
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/755a5df2-863e-44c1-b4a2-83eb33bac492,vytvořit plán pro interaktivní komunikaci značky online,released,skill/competence,occupation-specific,,Vytvořit obsah a prezentaci značky v interaktivní internetové platformě.,http://data.europa.eu/esco/skill/37272760-957a-4c34-b4f3-780ee285334d,"vypracovávat finanční, obchodní nebo marketingové plány"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75d2ac62-700a-41d1-b920-5cd7aaa78553,provozovat řídicí systémy,released,skill/competence,sector-specific,,"Konfigurovat a obsluhovat elektrická, elektronická a řídicí zařízení. Udržovat, monitorovat a kontrolovat provoz řídicího systému s cílem zajistit řízení a prevenci závažných rizik.
	",http://data.europa.eu/esco/skill/494b8057-daf5-46a0-b33b-416e0115c30a,používat digitální nástroje k ovládání strojů
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75f839c2-fd9a-4ad3-8921-6e734608568d,používat dotazovací jazyk,released,skill/competence,sector-specific,,Získávat informace z databáze nebo informačního systému za použití počítačových jazyků určených k vyhledávání dat.,http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7 | http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,programovat počítačové systémy | uplatňovat základní programovací dovednosti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/76415d7f-0fde-4364-b45f-5c044580d2aa,vytvářet výkresy v AutoCADu,released,skill/competence,cross-sector,,Vytvářet obecní výkresy ve skutečném provedení s použitím AutoCADu.,http://data.europa.eu/esco/skill/541561bc-510c-4a99-881c-2d8bf5a85462 | http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,používat software na technické kreslení | používat nástroje pro projektování pomocí počítače (cad) a počítačové rýsovací nástroje
