ESCOURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,DESCRIPTION
http://data.europa.eu/esco/isced-f/0399,key_17589,940745b8-fd3c-42ef-9847-e0cba6e01195,,"společenské vědy, žurnalistika a informace jinde neklasifikované",
http://data.europa.eu/esco/isced-f/04,key_17590,c2e52566-33ea-47aa-aeef-70adc91ba667,,"obchod, řízení a správa a právo",
http://data.europa.eu/esco/isced-f/040,key_17591,fbd7d49f-fe66-452f-b8fb-86fed8e731ea,,"obchod, řízení a správa a právo dále nedefinované",
http://data.europa.eu/esco/isced-f/0400,key_17592,2cfe9084-4a9b-46f2-9b0e-92281a720f1b,,"obchod, řízení a správa a právo dále nedefinované",
http://data.europa.eu/esco/isced-f/041,key_17593,2bf9e366-a720-4b0f-a9b8-c8497ec58935,,"obchod, řízení a správa",
http://data.europa.eu/esco/isced-f/0410,key_17594,8ee3853d-12f1-47de-8b44-20b42d989cd0,,"obchod, řízení a správa dále nedefinované",
http://data.europa.eu/esco/isced-f/0411,key_17595,14318c76-7848-4eea-8f87-2eff36be3ee1,,účetnictví a daně,
http://data.europa.eu/esco/isced-f/0412,key_17596,f554b1c9-073c-450e-9b50-137f6a15699c,,"peněžnictví, bankovnictví a pojišťovnictví",
http://data.europa.eu/esco/isced-f/0413,key_17597,886fb9c1-8e88-4e42-a900-7bac6d2d11af,,management a správa,
http://data.europa.eu/esco/isced-f/0414,key_17598,c0114f43-c743-4c68-b191-ec265ab6ad3f,,marketing a propagace,
http://data.europa.eu/esco/isced-f/0415,key_17599,4920220a-09ce-4a07-9cf6-4223752d5a2a,,sekretářské a kancelářské práce,
http://data.europa.eu/esco/isced-f/0416,key_17600,a79f4069-651c-41d4-b522-fd0178ee5f6e,,velkoobchod a maloobchod,
http://data.europa.eu/esco/isced-f/0417,key_17601,c0935c17-727a-4bdc-a1c0-152ad1c31621,,pracovní dovednosti,
http://data.europa.eu/esco/isced-f/0419,key_17602,add15291-3b01-4c71-81d6-72aca15fee3e,,obchod a řízení a správa jinde neklasifikované,
http://data.europa.eu/esco/isced-f/042,key_17603,09501b14-5f12-4b74-b736-feae67ee55de,,právo,
http://data.europa.eu/esco/isced-f/0421,key_17604,8a8e6435-63df-4988-b5dd-ad9f76239b81,,právo,
http://data.europa.eu/esco/isced-f/048,key_17605,b97aa437-d410-4080-bc33-5d5b6b7c3b32,,"interdisciplinární programy a kvalifikace zahrnující obchod, řízení a správu a právo",
http://data.europa.eu/esco/isced-f/0488,key_17606,c634b37b-faea-4c24-9e80-27de9e9513dd,,"interdisciplinární programy a kvalifikace zahrnující obchod, řízení a správu a právo",
http://data.europa.eu/esco/isced-f/049,key_17607,c4d8ac4f-267e-4e8d-83ab-7f9a0e48f7ba,,"obchod, řízení a správa a právo jinde neklasifikované",
http://data.europa.eu/esco/isced-f/0499,key_17608,7efabb8f-cd26-4401-a6fc-677a204fbe4e,,"obchod, řízení a správa a právo jinde neklasifikované",
