ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,CODE
http://data.europa.eu/esco/isco/C141,key_50,f5fefbed-4bcd-4b2e-b9bc-8915a090f528,Vedoucí a řídící pracovníci v oblasti ubytovacích a stravovacích služeb,141
http://data.europa.eu/esco/isco/C1411,key_51,a054ebac-e45b-4a32-824c-13b1049d9f28,Vedoucí a řídící pracovníci v oblasti ubytovacích služeb,1411
http://data.europa.eu/esco/isco/C1412,key_52,4f48b934-a464-47b5-add1-784a12393256,Vedoucí a řídící pracovníci v oblasti stravovacích služeb,1412
http://data.europa.eu/esco/isco/C142,key_53,e2171d3f-e8bc-41f9-a14f-f1002abe1b83,Vedoucí a řídící pracovníci v maloobchodě a velkoobchodě,142
http://data.europa.eu/esco/isco/C1420,key_54,9106f268-1ab7-4c31-9037-931611efbe53,Vedoucí a řídící pracovníci v maloobchodě a velkoobchodě,1420
http://data.europa.eu/esco/isco/C143,key_55,6946b4a3-fe71-4b8f-8d8e-ca366c936007,Ostatní vedoucí a řídící pracovníci,143
http://data.europa.eu/esco/isco/C1431,key_56,9c174189-490f-41e3-b789-31dbd4d8b337,"Vedoucí a řídící pracovníci ve sportovních, zábavních a příbuzných zařízeních",1431
http://data.europa.eu/esco/isco/C1439,key_57,0a97ef51-2c5f-4cac-8a42-a6d210b22b7c,Vedoucí a řídící pracovníci jinde neuvedení,1439
http://data.europa.eu/esco/isco/C2,key_58,fabdb815-42db-4118-83ac-00b6bc76af0d,Specialisté,2
http://data.europa.eu/esco/isco/C21,key_59,30e494dd-87f3-46d3-a88b-3ee237ca47d2,Specialisté v oblasti vědy a techniky,21
http://data.europa.eu/esco/isco/C211,key_60,48fda897-22bc-4508-8b1a-84dc3f1e848e,"Specialisté v oblasti fyziky, chemie a v příbuzných oborech",211
http://data.europa.eu/esco/isco/C2111,key_61,03bf814c-67ee-4359-95cf-a8e437216c4d,Fyzikové a astronomové,2111
http://data.europa.eu/esco/isco/C2112,key_62,9cd78ebc-7167-47aa-8710-e71ce0d41276,Meteorologové,2112
http://data.europa.eu/esco/isco/C2113,key_63,0b33d583-b515-403f-8148-8f6bf53868de,Chemici (kromě chemického inženýrství),2113
http://data.europa.eu/esco/isco/C2114,key_64,6d539711-f855-407c-8cc3-6788ca7fb72c,Geologové a geofyzici,2114
http://data.europa.eu/esco/isco/C212,key_65,2aa3ee8c-2455-41b5-b03b-301ee8c9976e,"Specialisté v oblasti matematiky, statistiky a pojistné matematiky",212
http://data.europa.eu/esco/isco/C2120,key_66,8b3c23da-65d2-47dc-89f6-83bfcf1403b9,"Specialisté v oblasti matematiky, statistiky a pojistné matematiky",2120
http://data.europa.eu/esco/isco/C213,key_67,4e762293-1a95-47c4-9a93-e83f4dfeaa26,Specialisté v biologických a příbuzných oborech,213
http://data.europa.eu/esco/isco/C2131,key_68,e6a99cb2-c566-4fa3-945d-37b43633a96b,"Biologové, botanici, zoologové a specialisté v příbuzných oborech",2131
http://data.europa.eu/esco/isco/C2132,key_69,78d36ca0-b41a-46e1-b479-4e00f322fd17,"Specialisté v oblasti zemědělství, lesnictví a rybářství",2132
http://data.europa.eu/esco/isco/C2133,key_70,e03c3570-fb1d-48ab-903a-d21306dca054,Specialisté v oblasti ochrany životního prostředí (kromě průmyslové ekologie),2133
http://data.europa.eu/esco/isco/C214,key_71,e72f19e9-7447-434d-9646-952de8230b6d,"Specialisté ve výrobě, stavebnictví a příbuzných oborech (kromě elektrotechniky)",214
