PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
SkillGroup,key_17819,key_17856,SkillGroup
SkillGroup,key_18084,key_17857,SkillGroup
SkillGroup,key_18121,key_17858,SkillGroup
SkillGroup,key_17749,key_17859,SkillGroup
SkillGroup,key_18116,key_17860,SkillGroup
SkillGroup,key_18073,key_17861,SkillGroup
SkillGroup,key_18099,key_17862,SkillGroup
SkillGroup,key_17875,key_17863,SkillGroup
SkillGroup,key_17746,key_17864,SkillGroup
SkillGroup,key_17749,key_17865,SkillGroup
SkillGroup,key_18019,key_17866,SkillGroup
SkillGroup,key_17798,key_17867,SkillGroup
SkillGroup,key_18112,key_17868,SkillGroup
SkillGroup,key_17797,key_17869,SkillGroup
SkillGroup,key_18141,key_17870,SkillGroup
SkillGroup,key_17961,key_17871,SkillGroup
SkillGroup,key_17939,key_17872,SkillGroup
SkillGroup,key_17812,key_17873,SkillGroup
SkillGroup,key_17998,key_17874,SkillGroup
SkillGroup,key_17752,key_17875,SkillGroup
SkillGroup,key_18048,key_17876,SkillGroup
SkillGroup,key_17939,key_17877,SkillGroup
SkillGroup,key_18084,key_17878,SkillGroup
SkillGroup,key_18039,key_17879,SkillGroup
SkillGroup,key_18105,key_17880,SkillGroup
SkillGroup,key_17798,key_17881,SkillGroup
SkillGroup,key_17752,key_17882,SkillGroup
SkillGroup,key_17749,key_17883,SkillGroup
SkillGroup,key_18084,key_17884,SkillGroup
SkillGroup,key_18105,key_17885,SkillGroup
SkillGroup,key_17795,key_17886,SkillGroup
SkillGroup,key_17816,key_17887,SkillGroup
SkillGroup,key_17874,key_17888,SkillGroup
SkillGroup,key_18002,key_17889,SkillGroup
SkillGroup,key_17760,key_17890,SkillGroup
SkillGroup,key_17880,key_17891,SkillGroup
SkillGroup,key_17788,key_17892,SkillGroup
SkillGroup,key_17788,key_17893,SkillGroup
SkillGroup,key_18039,key_17894,SkillGroup
SkillGroup,key_17887,key_17895,SkillGroup
SkillGroup,key_17751,key_17896,SkillGroup
SkillGroup,key_17964,key_17897,SkillGroup
SkillGroup,key_17798,key_17898,SkillGroup
SkillGroup,key_17788,key_17899,SkillGroup
SkillGroup,key_17973,key_17900,SkillGroup
SkillGroup,key_18090,key_17901,SkillGroup
SkillGroup,key_18126,key_17902,SkillGroup
SkillGroup,key_18066,key_17903,SkillGroup
SkillGroup,key_17875,key_17904,SkillGroup
SkillGroup,key_17782,key_17905,SkillGroup
SkillGroup,key_18039,key_17906,SkillGroup
SkillGroup,key_17810,key_17907,SkillGroup
SkillGroup,key_18102,key_17908,SkillGroup
SkillGroup,key_17974,key_17909,SkillGroup
SkillGroup,key_17998,key_17910,SkillGroup
SkillGroup,key_18043,key_17911,SkillGroup
SkillGroup,key_17956,key_17912,SkillGroup
SkillGroup,key_17795,key_17913,SkillGroup
SkillGroup,key_18105,key_17914,SkillGroup
SkillGroup,key_17812,key_17915,SkillGroup
SkillGroup,key_17885,key_17916,SkillGroup
SkillGroup,key_17875,key_17917,SkillGroup
SkillGroup,key_17788,key_17918,SkillGroup
SkillGroup,key_17797,key_17919,SkillGroup
SkillGroup,key_17823,key_17920,SkillGroup
SkillGroup,key_17923,key_17921,SkillGroup
SkillGroup,key_17882,key_17922,SkillGroup
SkillGroup,key_17964,key_17923,SkillGroup
SkillGroup,key_17890,key_17924,SkillGroup
SkillGroup,key_18121,key_17925,SkillGroup
SkillGroup,key_18084,key_17926,SkillGroup
SkillGroup,key_17964,key_17927,SkillGroup
SkillGroup,key_17939,key_17928,SkillGroup
SkillGroup,key_18084,key_17929,SkillGroup
SkillGroup,key_17797,key_17930,SkillGroup
SkillGroup,key_17806,key_17931,SkillGroup
SkillGroup,key_17859,key_17932,SkillGroup
SkillGroup,key_18069,key_17933,SkillGroup
SkillGroup,key_18121,key_17934,SkillGroup
SkillGroup,key_17927,key_17935,SkillGroup
SkillGroup,key_18126,key_17936,SkillGroup
SkillGroup,key_17801,key_17937,SkillGroup
SkillGroup,key_17964,key_17938,SkillGroup
SkillGroup,key_18066,key_17939,SkillGroup
SkillGroup,key_17954,key_17940,SkillGroup
SkillGroup,key_17998,key_17941,SkillGroup
SkillGroup,key_17874,key_17942,SkillGroup
SkillGroup,key_18113,key_17943,SkillGroup
SkillGroup,key_17923,key_17944,SkillGroup
SkillGroup,key_17841,key_17945,SkillGroup
SkillGroup,key_18064,key_17946,SkillGroup
SkillGroup,key_17819,key_17947,SkillGroup
SkillGroup,key_17751,key_17948,SkillGroup
SkillGroup,key_17751,key_17949,SkillGroup
SkillGroup,key_17865,key_17950,SkillGroup
