ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,ALTLABELS,DESCRIPTION,ISCOGROUPCODE,CODE
http://data.europa.eu/esco/occupation/9af8907f-56a7-4170-83b1-3c6ba0997cfa,key_2520,2578a8c5-0e08-4f4b-b2f0-2b9a1662a399,specialista katastru nemovitostí/specialistka katastru nemovitostí,"specialistka katastru nemovitostí
specialista katastru nemovitostí","Specialisté katastru nemovitostí používají specializované počítačové systémy, technická měření, geologické koncepty pro zpracování půdy, geografické a geoprostorové informace pro vytvoření vizuálních podrobných digitálních map a geomodelů nádrží. Převádějí technické informace, jako je hustota a vlastnosti půdy, na digitální formát, aby je mohli využívat inženýři, vlády a zainteresované strany.
   ",2165.0,2165.3
http://data.europa.eu/esco/occupation/9b35eab1-2adc-4057-a620-181862656a19,key_2521,dcf10e9e-9020-480e-8e9c-37e4411f886c,pracovník turistické informační služby/pracovnice turistické informační služby,"pracovník turistického informačního centra
turistická recepční
pracovnice turistického informačního centra
turistický recepční
pracovnice turistické informační služby
turistický asistent
pracovník turistické informační služby
turistická asistentka","Pracovníci turistické informační služby poskytují cestujícím informace a poradenství o místních atrakcích, akcích, cestování a ubytování.",4221.0,4221.4
http://data.europa.eu/esco/occupation/9b3c6dd8-4d3b-4a12-8bb8-55bb2e92c3a6,key_2522,6c9df57e-7b60-46db-aefd-221ce358b449,nákupčí dekorací,,"Nákupčí dekorací provádějí analýzu scénáře s cílem identifikovat scénu a rekvizity, které jsou zapotřebí pro jednotlivé scény. Konzultují rovněž produkčního designéra a scénografy a rekvizitáře. Nákupčí dekorací nakupují, pronajímají nebo zajišťují výrobu rekvizit. Nákupčí dekorací zajišťují, že scéna vypadá autenticky a věrohodně.",3323.0,3323.3
http://data.europa.eu/esco/occupation/9b51a2d2-999a-43a6-a814-63dd30a585fa,key_2523,b3225363-e3a9-41e8-86e3-3912b43fc213,školní inspektor/školní inspektorka,"školní inspektorka
školní inspektor","Školní inspektoři navštěvují školy s cílem zajistit, aby zaměstnanci škol plnili své úkoly v souladu s pravidly a předpisy v oblasti vzdělávání, a zkontrolovat, zda správa, prostory a vybavení školy jsou v souladu s předpisy. Pozorují vyučovací hodiny a prověřují záznamy za účelem vyhodnocení fungování školy a zhotovují zprávy o svých zjištěních. Poskytují zpětnou vazbu a poradenství ohledně zlepšení a podávají zprávy o výsledcích vyšším úředníkům. Někdy také připravují kurzy odborné přípravy a pořádají konference pro učitele určitých předmětů.",2351.0,2351.3
http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,key_2524,4e486e74-713f-48b1-b100-a5daa718e482,odborný lékař/odborná lékařka,"odborný lékař
odborná lékařka","Odborní lékaři předcházejí nemocem, diagnostikují je a léčí, v závislosti na jejich lékařské nebo chirurgické specializaci.",2212.0,2212.1
http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,key_2525,fda22678-fa47-4c1f-a690-6130ab1fd387,prodavač/prodavačka,"prodavačka
prodavačka v hypermarketu
prodavač v supermarketu
prodavačka v supermarketu
prodavač v prodejně
prodavačka v prodejně
prodavač v hypermarketu
prodavač",Prodavači představují přímý kontakt s klienty. Poskytují zákazníkům obecné poradenství.,5223.0,5223.4
http://data.europa.eu/esco/occupation/9beeb1f0-5aca-4bde-bae9-c74ddb94fac3,key_2526,920eb13b-895a-4c52-8249-864dbdde6038,vedoucí prodejny textilu,,Vedoucí prodejen textilu jsou zodpovědní za činnost specializovaných obchodů a jejich zaměstnance.,1420.0,1420.4.41
http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,key_2527,1a2ec2c1-26fd-4b32-8e99-862d622c6072,armádní kapitán/armádní kapitánka,"velitelka roty
armádní kapitánka
armádní kapitán
velitel roty","Armádní kapitáni jsou nápomocni při dohledu nad rozsáhlými jednotkami a provádějí plánování a strategická plnění v rámci taktických operací. Zajišťují rovněž údržbu vybavení a poskytují podporu v logistických záležitostech, jakož i podporu během operací.",110.0,0110.3
http://data.europa.eu/esco/occupation/9c3cdf9a-f62f-4d73-bb8d-4cfc85c2d271,key_2528,52468d25-eb10-41f0-924b-30d01a864cf5,hasič v námořní dopravě/hasička v námořní dopravě,"hasička v námořní dopravě
hasič v námořní dopravě","Hasiči v námořní dopravě jsou odpovědní za reakci na mimořádné události v případě vypuknutí požáru nebo jiných nebezpečných situací v mořském prostředí. Aktivně zneškodňují požáry a ohniska jiných nebezpečných věcí na plavidlech, v docích a jiných námořních zařízeních. Zajišťují, aby námořní zařízení bylo v souladu s předpisy v oblasti bezpečnosti a ochrany zdraví. Zařizují rovněž vyklizení místa a posuzují škody.",5411.0,5411.1.2
http://data.europa.eu/esco/occupation/9c55aa23-e3f2-4c00-8c90-5ed5204951a3,key_2529,26441c8e-4d16-4988-9415-b7523d77cd24,pracovník služeb podpory zdravotně postiženým/pracovnice služeb podpory zdravotně postiženým,"pracovnice služeb podpory zdravotně postiženým
pracovník služeb podpory zdravotně postiženým","Pracovníci služeb podpory zdravotně postiženým poskytují osobní asistenci a podporu jednotlivcům všech věkových kategorií se známkami postižení, ať už jde o duševní či tělesné postižení. Pracují s ostatními zdravotnickými pracovníky s cílem maximalizovat fyzickou i duševní pohodu jednotlivců. Mezi jejich povinnosti patří koupání, zvedání, pohybování, oblékání nebo krmení zdravotně postižených.",3412.0,3412.4.4
http://data.europa.eu/esco/occupation/9c57263e-a38f-4c45-9265-a3c3e7cc2c5c,key_2530,6223efcb-4f79-4d7f-8c2a-942583da6535,výrobce kartáčů/výrobkyně kartáčů,"výrobce kartáčů
kartáčnice
kartáčník
výrobkyně kartáčů","Výrobci kartáčů vkládají do kovových trubic různé druhy materiálu, jako jsou žíně, rostlinná vlákna, nylon a štětiny. Ke štětinám přiloží dřevěný nebo hliníkový kolík, aby se vytvořila hlava štětce, a na druhou stranu trubice připojí rukojeť. Ponoří hlavu štětce do ochranné látky tak, aby byl zachován její tvar, provedou konečnou úpravu a zkontrolují konečný výrobek.",7317.0,7317.3
http://data.europa.eu/esco/occupation/9c61bba4-56b7-4846-9f4e-b1f2decf3e7e,key_2531,26b451cb-d466-4651-ae00-545c8bd1e2bd,pracovník výjezdové skupiny pultu centralizované ochrany/pracovnice výjezdové skupiny pultu centralizované ochrany,"pracovnice výjezdové skupiny pultu centralizované ochrany
pracovník výjezdové skupiny pultu centralizované ochrany","Pracovníci výjezdové skupiny pultu centralizované ochrany reagují na poplašné signály na ochranu proti vloupání a prošetřují poruchy zjištěné v poplašném systému v prostorách zákazníka. Dohlížejí na bezpečnostní poplašná zařízení a další sledovací zařízení a kontaktují policii v případech, kdy dochází k vniknutí nepovolaných osob.",5414.0,5414.1.7
