conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1500f1a7-d348-4d9e-b0a0-5792645f6c7a,skill/competence,transversal,rozumět psané javánštině,released,,Číst a chápat psaný text v javánštině.,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,javánština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15db81bb-7ee6-4a5f-838f-0e8a731b1fb7,skill/competence,transversal,ústně komunikovat v černohorštině,released,,Ústně komunikovat v černohorštině.,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,černohorština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,knowledge,transversal,bihárština,released,,Bihárský jazyk.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,ovládání jazyků | Jazyky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,skill/competence,transversal,makedonština,released,,Makedonský jazyk.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,ovládání jazyků | Jazyky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,knowledge,transversal,sardština,released,,Sardinský jazyk.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Jazyky | ovládání jazyků
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1658c54a-05f7-4bde-a2f0-be67bfbda596,skill/competence,transversal,ústně komunikovat v islandštině,released,,Ústně komunikovat v islandštině.,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,islandština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16af0cae-57a8-478b-9095-13d3a170c9e7,skill/competence,transversal,rozumět mluvené japonštině,released,,Rozumět mluvené formě japonštiny.,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,japonština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16c86dd8-00fa-4fbd-a0a9-bb59f83ebc85,skill/competence,transversal,psát česky,released,,Vypracovávat písemné texty v češtině.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,čeština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1778faed-42eb-4aba-a41a-83989cb6bc6b,skill/competence,transversal,rozumět mluvené chorvatštině,released,,Rozumět mluvené formě chorvatštiny.,http://data.europa.eu/esco/skill/6bc58e91-1827-4dc7-a9cf-2311edcba0ec,chorvatština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/185647bf-e101-4080-9a40-09173d7eefd0,skill/competence,transversal,ústně komunikovat ve velštině,released,,Ústně komunikovat ve velštině.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,velština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/18e55722-e209-49a4-9f2c-ff0a789b3a68,skill/competence,transversal,ústně komunikovat v tamilštině,released,,Ústně komunikovat v tamilštině.,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,tamilština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1988ce17-ce7a-44b9-9fce-5aaea5f811f5,skill/competence,transversal,psát arménsky,released,,Vypracovávat písemné texty v arménštině.,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,arménština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19b04a30-2e1d-4893-a86c-bde277765c7f,skill/competence,transversal,psát litevsky,released,,Vypracovávat písemné texty v litevštině.,http://data.europa.eu/esco/skill/b3950b87-a980-4cd4-a795-be8a9b63661d,litevština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a61a520-f4a5-48fe-9087-3d0e46943d8e,skill/competence,transversal,rozumět psané irštině,released,,Číst a chápat psaný text v irštině.,http://data.europa.eu/esco/skill/8f4c0fe6-10c7-409e-92d6-245f46728209,irština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418,knowledge,transversal,estonština,released,,Estonský jazyk. Estonština je úředním a pracovním jazykem EU.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,ovládání jazyků | Jazyky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d3c5ca3-e154-4a43-883e-7496e8886cd6,skill/competence,transversal,psát rumunsky,released,,Vypracovávat písemné texty v rumunštině.,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,rumunština
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d5526b3-f17b-46fc-ba7d-f4a32d908a7e,skill/competence,transversal,rozumět mluvené němčině,released,,Rozumět mluvené formě němčiny.,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,němčina
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,knowledge,transversal,malajština,released,,Malajský jazyk.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,ovládání jazyků | Jazyky
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,skill/competence,transversal,čínština,released,,Čínský jazyk.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,Jazyky | ovládání jazyků
