conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a09db78-cbcf-428a-a23c-5c3f3951cc4c,"monitorovat recyklační místa, monitorovat sběrná místa pro občany, kontrolovat místa sloužící k recyklaci",released,skill/competence,sector-specific,,"Monitorovat místa a zařízení, která slouží k recyklaci a kde se mohou jednotlivci zbavovat domácího odpadu, s cílem zajistit bezpečnost, soulad s právními předpisy a využívání zařízení veřejností v souladu s předpisy o odpadech.",http://data.europa.eu/esco/skill/67117c88-c855-4fab-98c5-e322e838969f | http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838,organizačně zajišťovat vybavení a služby v místě konání akce | monitorovat bezpečnost nebo zabezpečení
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a6c7e0d-fc13-41d7-a5c0-8ca00606de89,propagovat udržitelnou energetiku,released,skill/competence,sector-specific,,"Propagovat využívání obnovitelných zdrojů energie a zdrojů pro výrobu tepla u organizací a jednotlivců v rámci úsilí o udržitelnou budoucnost a podporovat prodej zařízení na výrobu energie z obnovitelných zdrojů, jako jsou solární zařízení.",http://data.europa.eu/esco/skill/469e19ed-a0bd-445a-ae2d-4ba9430e296b,propagovat udržitelnost
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1aae38c8-f75a-4009-8aa0-c5fa94b06e6b,řídit testování jakosti vody,released,skill/competence,cross-sector,,"Řídit postupy týkající se testování a analýzy kvality vody a následných postupů čištění, a to řízením činností od odběru vzorků po laboratorní testování, řízení zaměstnanců a zajištění dodržování právních předpisů.",http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,vést ostatní
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ab1449d-5b65-458b-b115-f5283a52da8e,poskytovat poradenství v oblasti využívání veřejných služeb,released,skill/competence,sector-specific,,"Radit jednotlivcům nebo organizacím, pokud jde o metody, jak mohou snížit svou spotřebu veřejných služeb, jako je teplo, voda, plyn a elektřina, aby ušetřili peníze a zavedli udržitelné postupy.",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,poskytovat poradenství ohledně otázek životního prostředí | radit ostatním
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b270383-b30c-4092-a9ed-b1637ecf2b79,používat meteorologické informace,released,skill/competence,sector-specific,,Používat a vykládat meteorologické informace pro činnosti závislé na klimatických podmínkách. Využívat tyto informace s cílem poskytnout poradenství o bezpečných činnostech ve vztahu k meteorologickým podmínkám.,http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af | http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/5e09534b-9ba1-4f29-84ad-1b3ad66d2dc8,analyzovat a vyhodnocovat informace a data | myslet kriticky | procházet meteorologická data s předpovědí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b644187-7c16-4685-bc80-fe1279492dea,koordinovat nakládání s kalem z čistíren odpadních vod,released,skill/competence,sector-specific,,"Koordinovat zpracování a odstraňování polotuhých zbytků, které jsou výsledkem čištění odpadních vod, jako je například výroba energie díky kvašení, sušení a opětovného použití jako hnojiva.",http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207 | http://data.europa.eu/esco/skill/61d1dab2-6007-4b7c-9380-cd88207fa30f,"vést ostatní | odstraňovat odpad nebo sutiny, které nejsou klasifikovány jako nebezpečné"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b718a43-4295-44cc-9530-78323bbeb663,fermentace v laboratorním měřítku,released,knowledge,occupation-specific,,"Kroky a požadavky, které jsou součástí fermentace v laboratorním měřítku, pokud jde o přeměnu biomasy na chemické látky, cukry nebo paliva.",http://data.europa.eu/esco/isced-f/0711,chemické inženýrství a výroby
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b73b2a7-aefc-49ef-8b30-b90ca7429984,radit zákazníkům ohledně stavebních materiálů,released,skill/competence,sector-specific,,"Poskytovat zákazníkům detailní poradenství ohledně stavebních materiálů; doporučit udržitelný vývoj a prosazovat používání zelených materiálů, jako je dřevo, sláma a bambus; prosazovat recyklaci a používání obnovitelných nebo netoxických materiálů.",http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521 | http://data.europa.eu/esco/skill/3b64ab47-a874-403a-b781-7b23c2fc3c6c | http://data.europa.eu/esco/skill/62afcfdd-a2a6-4143-bafb-59c77e15a01c | http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,poskytovat poradenství v oblasti stavebních materiálů | poskytovat poradenství v oblasti stavebních otázek | poskytovat poradenství ohledně výrobků a služeb | radit ostatním
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1b94ad6c-c54d-4bdd-858d-81ebef51c5a4,udržitelné obuvnické materiály a komponenty,released,knowledge,sector-specific,,"Materiály a součásti šetrné k životnímu prostředí, včetně kůže, textilních a syntetických materiálů, materiálů pro podrážky a mezipodešve, různé součásti a příslušenství.
	",http://data.europa.eu/esco/isced-f/0723,"výroba textilu (oděvů a obuvi, zpracování kůže)"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1c4fa8a3-7f7e-4c63-a36c-89e4321774d6,zjišťovat historické změny klimatu,released,skill/competence,occupation-specific,,"Analyzovat vzorky odebrané ze vzorků ledu, letokruhů, usazenin atd. s cílem získat informace o změnách klimatu v průběhu historie Země a o jejich důsledcích pro život na naší planetě.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d | http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a,analyzovat vědecká a lékařská data | zpracovávat kvalitativní informace
